Name;Gelenk 1;;;;;;;;Gelenk 2;;;;;;;;Gelenk 3;;;;;;;;EE-Transformation (phi_N_E);;;EE-FG (Basis-KS);;;;;;;;;Weitere Eigenschaften;;Herkunft Struktursynthese;;;;
;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;phix_NE;phiy_NE;phiz_NE;vx0;vy0;vz0;wx0;wy0;wz0;phix0;phiy0;phiz0;Positionsbeeinflussendes Gelenk;Gelenkfolge;Manuell;Roboter;3T0R-PKM;3T1R-PKM;Gelenkfolge
S3PRR1;P;pi;0;pi/2;0;pi;q1;0;R;0;0;pi/2;a2;q2;d2;0;R;0;0;0;a3;q3;d3;0;0;0;0;1;1;0;0;0;1;0;0;1;2;;0;1;0;0;0
S3PRR1V1;P;pi;0;pi/2;0;pi;q1;0;R;0;0;pi/2;a2;q2;d2;0;R;0;0;0;a3;q3;0;0;0;0;0;1;1;0;0;0;1;0;0;1;2;;0;0;0;0;0
