Name;Gelenk 1;;;;;;;;Gelenk 2;;;;;;;;Gelenk 3;;;;;;;;EE-FG (Basis-KS);;;;;
;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;vx0;vy0;vz0;wx0;wy0;wz0
S3PPR1;P;pi;0;pi/2;0;-pi/2;0;0;P;0;0;pi/2;a2;pi/2;0;0;R;0;0;pi/2;a3;0;d3;0;1;1;0;0;0;1
S3PPR2;P;pi/2;0;pi/2;0;-pi/2;0;0;P;0;0;pi/2;a2;pi/2;0;0;R;0;0;pi/2;a3;0;d3;0;1;1;0;0;0;1
