Name;Gelenk 1;;;;;;;;Gelenk 2;;;;;;;;Gelenk 3;;;;;;;;Gelenk 4;;;;;;;;Gelenk 5;;;;;;;;Gelenk 6;;;;;;;;EE-FG (Basis-KS);;;;;
;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;vx0;vy0;vz0;wx0;wy0;wz0
S6RPRRPP1;R;0;0;0;0;0;d1;0;P;0;0;0;a2;theta2;0;0;R;0;0;pi/2;a3;0;d3;0;R;0;0;pi/2;a4;0;d4;0;P;0;0;0;a5;theta5;0;0;P;0;0;pi/2;a6;0;0;0;1;1;1;1;1;1
S6RPRRPP2;R;0;0;0;0;0;d1;0;P;0;0;0;a2;theta2;0;0;R;0;0;pi/2;a3;0;d3;0;R;0;0;pi/2;a4;0;d4;0;P;0;0;pi/2;a5;0;0;0;P;0;0;pi/2;a6;0;0;0;1;1;1;1;1;1
S6RPRRPP3;R;0;0;0;0;0;d1;0;P;0;0;0;a2;theta2;0;0;R;0;0;pi/2;a3;0;d3;0;R;0;0;pi/2;a4;0;d4;0;P;0;0;pi/2;a5;pi/2;0;0;P;0;0;pi/2;a6;0;0;0;1;1;1;1;1;1
S6RPRRPP4;R;0;0;0;0;0;d1;0;P;0;0;pi/2;a2;theta2;0;0;R;0;0;0;a3;0;d3;0;R;0;0;pi/2;a4;0;d4;0;P;0;0;0;a5;theta5;0;0;P;0;0;pi/2;a6;0;0;0;1;1;1;1;1;1
S6RPRRPP5;R;0;0;0;0;0;d1;0;P;0;0;pi/2;a2;theta2;0;0;R;0;0;0;a3;0;d3;0;R;0;0;pi/2;a4;0;d4;0;P;0;0;pi/2;a5;0;0;0;P;0;0;pi/2;a6;0;0;0;1;1;1;1;1;1
S6RPRRPP6;R;0;0;0;0;0;d1;0;P;0;0;pi/2;a2;pi/2;0;0;R;0;0;pi/2;a3;0;d3;0;R;0;0;pi/2;a4;0;d4;0;P;0;0;0;a5;theta5;0;0;P;0;0;pi/2;a6;0;0;0;1;1;1;1;1;1
S6RPRRPP7;R;0;0;0;0;0;d1;0;P;0;0;pi/2;a2;pi/2;0;0;R;0;0;pi/2;a3;0;d3;0;R;0;0;pi/2;a4;0;d4;0;P;0;0;pi/2;a5;0;0;0;P;0;0;pi/2;a6;0;0;0;1;1;1;1;1;1
S6RPRRPP8;R;0;0;0;0;0;d1;0;P;0;0;pi/2;a2;pi/2;0;0;R;0;0;pi/2;a3;0;d3;0;R;0;0;pi/2;a4;0;d4;0;P;0;0;pi/2;a5;pi/2;0;0;P;0;0;pi/2;a6;0;0;0;1;1;1;1;1;1
