Name;Gelenk 1;;;;;;;;Gelenk 2;;;;;;;;Gelenk 3;;;;;;;;Gelenk 4;;;;;;;;EE-Transformation (phi_N_E);;;EE-FG (Basis-KS);;;;;;;;
;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;phix_NE;phiy_NE;phiz_NE;vx0;vy0;vz0;wx0;wy0;wz0;phix0;phiy0;phiz0
S4RRPP1;R;0;0;0;0;0;d1;0;R;0;0;0;a2;0;d2;0;P;0;0;0;a3;theta3;0;0;P;0;0;pi/2;a4;0;0;0;?;?;?;1;1;1;0;0;1;0;0;1
S4RRPP2;R;0;0;0;0;0;d1;0;R;0;0;0;a2;0;d2;0;P;0;0;pi/2;a3;0;0;0;P;0;0;pi/2;a4;0;0;0;?;?;?;1;1;1;0;0;1;0;0;1
