Name;Gelenk 1;;;;;;;;Gelenk 2;;;;;;;;Gelenk 3;;;;;;;;Gelenk 4;;;;;;;;EE-Transformation (phi_N_E);;;EE-FG (Basis-KS);;;;;;;;;Weitere Eigenschaften;Herkunft Struktursynthese;;;
;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;phix_NE;phiy_NE;phiz_NE;vx0;vy0;vz0;wx0;wy0;wz0;phix0;phiy0;phiz0;Positionsbeeinflussendes Gelenk;Manuell;Roboter;3T0R-PKM;3T1R-PKM
S4PRPR1;P;0;0;0;0;theta1;q1;0;R;0;0;0;a2;q2;d2;0;P;0;0;pi/2;a3;0;q3;0;R;0;0;pi/2;a4;q4;d4;0;pi;0;0;1;1;1;0;0;1;0;0;1;3;0;1;1;?
S4PRPR1V1;P;0;0;0;0;theta1;q1;0;R;0;0;0;a2;q2;d2;0;P;0;0;pi/2;a3;0;q3;0;R;0;0;pi/2;a4;q4;0;0;pi;0;0;1;1;1;0;0;1;0;0;1;3;0;0;0;?
S4PRPR2;P;pi;0;pi/2;0;pi;q1;0;R;0;0;pi/2;a2;q2;d2;0;P;0;0;0;a3;theta3;q3;0;R;0;0;0;a4;q4;d4;0;0;0;0;1;1;1;0;0;1;0;0;1;3;0;1;1;?
S4PRPR2V1;P;pi;0;pi/2;0;pi;q1;0;R;0;0;pi/2;a2;q2;d2;0;P;0;0;0;a3;theta3;q3;0;R;0;0;0;a4;q4;0;0;0;0;0;1;1;1;0;0;1;0;0;1;3;0;0;0;?
S4PRPR3;P;0;0;0;0;theta1;q1;0;R;0;0;0;a2;q2;d2;0;P;0;0;pi/2;a3;theta3;q3;0;R;0;0;0;a4;q4;d4;0;?;?;?;1;1;1;0;0;0;0;0;0;?;?;?;1;?
S4PRPR4;P;0;0;0;0;theta1;q1;0;R;0;0;0;a2;q2;d2;0;P;0;0;pi/2;a3;pi/2;q3;0;R;0;0;pi/2;a4;q4;d4;0;?;?;?;1;1;1;0;0;0;0;0;0;?;?;?;1;?
S4PRPR5;P;0;0;0;0;theta1;q1;0;R;0;0;pi/2;a2;q2;d2;0;P;0;0;0;a3;theta3;q3;0;R;0;0;pi/2;a4;q4;d4;0;?;?;?;1;1;1;0;0;0;0;0;0;?;?;?;1;?
S4PRPR6;P;0;0;0;0;theta1;q1;0;R;0;0;pi/2;a2;q2;d2;0;P;0;0;pi/2;a3;theta3;q3;0;R;0;0;0;a4;q4;d4;0;?;?;?;1;1;1;0;0;0;0;0;0;?;?;?;1;?
S4PRPR7;P;0;0;0;0;theta1;q1;0;R;0;0;pi/2;a2;q2;d2;0;P;0;0;pi/2;a3;pi/2;q3;0;R;0;0;pi/2;a4;q4;d4;0;?;?;?;1;1;1;0;0;0;0;0;0;?;?;?;1;?
