Name/lfdNr;Name2;Langname;Gelenk 1;;;;;;;;;;;;;Gelenk 2;;;;;;;;;;;;;Gelenk 3;;;;;;;;;;;;;Gelenk 4;;;;;;;;;;;;;Gelenk 5;;;;;;;;;;;;;Gelenk 6;;;;;;;;;;;;;Allgemein;
;;;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Nenn-Traglast;Masse
S6RRRRRR10_KUKA13;KUKA;KR 240 R2500 prime;R;0;0;0;0;q1;675;0;-185;185;105;-1;-20;R;0;0;90;350;q2;0;0;5;140;107;1;120;R;0;0;0;1150;0;0;0;-210;65;114;1;20;R;0;0;90;41;q4;1000;0;-350;350;136;1;0;R;0;0;90;0;q5;0;0;-122.5;122.5;129;1;0;R;0;0;90;0;q6;-240;0;-350;350;206;1;0;240;1111
S6RRRRRR10_KUKA14;KUKA;KR 210 R2700 prime;R;0;0;0;0;q1;675;0;-185;185;105;-1;-20;R;0;0;90;350;q2;0;0;5;140;107;1;120;R;0;0;0;1150;0;0;0;-210;65;114;1;20;R;0;0;90;41;q4;1200;0;-350;350;136;1;0;R;0;0;90;0;q5;0;0;-122.5;122.5;129;1;0;R;0;0;90;0;q6;-240;0;-350;350;206;1;0;240;1102
S6RRRRRR10_KUKA15;KUKA;KR 210 R2700 prime;R;0;0;0;0;q1;675;0;-165;165;105;-1;-20;R;0;0;90;350;q2;0;0;5;140;107;1;120;R;0;0;0;1150;0;0;0;-210;65;114;1;20;R;0;0;90;41;q4;1200;0;-350;350;136;1;0;R;0;0;90;0;q5;0;0;-122.5;122.5;129;1;0;R;0;0;90;0;q6;-240;0;-350;350;206;1;0;210;1111
S6RRRRRR10_KUKA16;KUKA;KR 210 R2700 prime;R;0;0;0;0;q1;675;0;-185;185;105;-1;-20;R;0;0;90;350;q2;0;0;29;140;107;1;120;R;0;0;0;1150;0;0;0;-210;65;114;1;20;R;0;0;90;41;q4;1200;0;-350;350;136;1;0;R;0;0;90;0;q5;0;0;-122.5;122.5;129;1;0;R;0;0;90;0;q6;-240;0;-350;350;206;1;0;210;1116
S6RRRRRR10_KUKA17;KUKA;KR 180 R2900 prime;R;0;0;0;0;q1;675;0;-185;185;105;-1;-20;R;0;0;90;350;q2;0;0;5;140;107;1;120;R;0;0;0;1350;0;0;0;-210;65;114;1;20;R;0;0;90;41;q4;1200;0;-350;350;179;1;0;R;0;0;90;0;q5;0;0;-125;125;172;1;0;R;0;0;90;0;q6;-215;0;-350;350;219;1;0;210;1111
S6RRRRRR10_KUKA18;KUKA;KR 150 R3100 prime;R;0;0;0;0;q1;675;0;-185;185;105;-1;-20;R;0;0;90;350;q2;0;0;5;140;107;1;120;R;0;0;0;1350;0;0;0;-210;65;114;1;20;R;0;0;90;41;q4;1400;0;-350;350;179;1;0;R;0;0;90;0;q5;0;0;-125;125;172;1;0;R;0;0;90;0;q6;-215;0;-350;350;219;1;0;180;1106
S6RRRRRR10_KUKA19;KUKA;KR 210 R2900 prime K;R;0;0;0;0;q1;675;0;-185;185;105;-1;-20;R;0;0;90;350;q2;0;0;-70;120;107;1;120;R;0;0;0;1350;0;0;0;-210;65;107;1;20;R;0;0;90;41;q4;1200;0;-350;350;136;1;0;R;0;0;90;0;q5;0;0;-122.5;122.5;129;1;0;R;0;0;90;0;q6;-215;0;-350;350;206;1;0;150;1114
S6RRRRRR10_KUKA20;KUKA;KR 180 R3100 prime K;R;0;0;0;0;q1;590;0;-185;185;105;-1;-20;R;0;0;90;750;q2;0;0;-70;120;107;1;120;R;0;0;0;1350;0;0;0;-210;65;114;1;20;R;0;0;90;41;q4;1200;0;-350;350;179;1;0;R;0;0;90;0;q5;0;0;-125;125;172;1;0;R;0;0;90;0;q6;-215;0;-350;350;219;1;0;210;1180
S6RRRRRR10_KUKA21;KUKA;KR 150 R3300 prime K;R;0;0;0;0;q1;590;0;-185;185;105;-1;-20;R;0;0;90;750;q2;0;0;-70;120;107;1;120;R;0;0;0;1350;0;0;0;-210;65;114;1;20;R;0;0;90;41;q4;1200;0;-350;350;179;1;0;R;0;0;90;0;q5;0;0;-125;125;172;1;0;R;0;0;90;0;q6;-215;0;-350;350;219;1;0;180;1168
S6RRRRRR10_KUKA22;KUKA;KR 120 R3500 prime K;R;0;0;0;0;q1;590;0;-185;185;105;-1;-20;R;0;0;90;750;q2;0;0;-70;120;107;1;120;R;0;0;0;1350;0;0;0;-210;65;114;1;20;R;0;0;90;41;q4;1400;0;-350;350;292;1;0;R;0;0;90;0;q5;0;0;-125;125;258;1;0;R;0;0;90;0;q6;-215;0;-350;350;284;1;0;150;1184
