Name/lfdNr;Name2;Langname;Gelenk 1;;;;;;;;;;;;;Gelenk 2;;;;;;;;;;;;;Gelenk 3;;;;;;;;;;;;;Gelenk 4;;;;;;;;;;;;;Gelenk 5;;;;;;;;;;;;;Gelenk 6;;;;;;;;;;;;;Gelenk 7;;;;;;;;;;;;;Allgemein;
;;;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Nenn-Traglast;Masse
S7RRRRRRR1;;;R;0;0;0;0;0;d1;0;;;;;;R;0;0;pi/2;0;0;0;0;;;;;;R;0;0;-pi/2;0;0;d3;0;;;;;;R;0;0;-pi/2;0;0;0;0;;;;;;R;0;0;pi/2;0;0;d5;0;;;;;;R;0;0;pi/2;0;0;0;0;;;;;;R;0;0;-pi/2;0;0;d7;0;;;;;;;
S7RRRRRRR1_LWR4P;KUKA;LBR 4+;R;0;0;0;0;0;0.3105;0;-170;170;110;1;0;R;0;0;pi/2;0;0;0;0;-120;120;110;1;0;R;0;0;-pi/2;0;0;0.40;0;-170;170;128;1;0;R;0;0;-pi/2;0;0;0;0;-120;120;128;1;0;R;0;0;pi/2;0;0;0.39;0;-170;170;204;1;0;R;0;0;pi/2;0;0;0;0;-120;120;184;1;0;R;0;0;-pi/2;0;0;78;0;-170;170;184;1;0;NA;NA
