Name;Gelenk 1;;;;;;;;Gelenk 2;;;;;;;;Gelenk 3;;;;;;;;Gelenk 4;;;;;;;;Gelenk 5;;;;;;;;EE-Transformation (phi_N_E);;;EE-FG (Basis-KS);;;;;;;;;Weitere Eigenschaften
;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;phix_NE;phiy_NE;phiz_NE;vx0;vy0;vz0;wx0;wy0;wz0;phix0;phiy0;phiz0;Positionsbeeinflussendes Gelenk
S5PRPRP1;P;0;0;0;0;theta1;q1;0;R;0;0;0;a2;q2;d2;0;P;0;0;pi/2;a3;theta3;q3;0;R;0;0;0;a4;q4;d4;0;P;0;0;pi/2;a5;0;q5;0;?;?;?;1;1;1;1;1;0;1;1;0;?
S5PRPRP2;P;0;0;0;0;theta1;q1;0;R;0;0;0;a2;q2;d2;0;P;0;0;pi/2;a3;theta3;q3;0;R;0;0;pi/2;a4;q4;d4;0;P;0;0;0;a5;0;q5;0;?;?;?;1;1;1;1;1;0;1;1;0;?
S5PRPRP3;P;0;0;0;0;theta1;q1;0;R;0;0;pi/2;a2;q2;d2;0;P;0;0;0;a3;theta3;q3;0;R;0;0;pi/2;a4;q4;d4;0;P;0;0;0;a5;0;q5;0;?;?;?;1;1;1;1;1;0;1;1;0;?
S5PRPRP4;P;0;0;0;0;theta1;q1;0;R;0;0;pi/2;a2;q2;d2;0;P;0;0;0;a3;theta3;q3;0;R;0;0;pi/2;a4;q4;d4;0;P;0;0;pi/2;a5;0;q5;0;?;?;?;1;1;1;1;1;0;1;1;0;?
S5PRPRP5;P;0;0;0;0;theta1;q1;0;R;0;0;pi/2;a2;q2;d2;0;P;0;0;pi/2;a3;theta3;q3;0;R;0;0;0;a4;q4;d4;0;P;0;0;pi/2;a5;0;q5;0;?;?;?;1;1;1;1;1;0;1;1;0;?
S5PRPRP6;P;0;0;0;0;theta1;q1;0;R;0;0;pi/2;a2;q2;d2;0;P;0;0;pi/2;a3;pi/2;q3;0;R;0;0;pi/2;a4;q4;d4;0;P;0;0;pi/2;a5;0;q5;0;?;?;?;1;1;1;1;1;0;1;1;0;?
